Username,Produk,Review,Rating,ReviewAt
user_20115,Lampu Tidur,Sangat puas dengan pelayanan toko ini.,5,2023-09-04
user_394,Smartphone Android,Pengiriman sangat lama.,1,2024-06-24
habibibanawi,Powerbank 10000mAh,"Sesuai deskripsi, kualitas oke dan tahan lama.",5,2025-02-28
user_23985,Kursi Lipat,Worth it banget untuk harga segini.,4,2024-06-24
user_2089,Smartphone Android,Barang original dan berkualitas.,4,2023-01-22
yolandalutfan,Parfum Unisex,"Produk bagus, bahan adem dan sesuai gambar.",4,2025-02-09
user_22776,Celana Jeans,Sangat kecewa dengan produk ini.,1,2024-12-22
gsuwarno,Dompet Kulit,"Packing rapi banget, penjual ramah.",4,2024-11-29
user_12393,Kaos Polos,Penjual tidak merespon chat.,2,2024-01-30
user_4380,Kaos Polos,Penjual tidak merespon chat.,1,2024-10-20
user_19121,Meja Belajar,Barang original dan berkualitas.,5,2023-12-25
user_22703,Kursi Lipat,Rating tinggi tapi kualitas rendah.,2,2023-09-23
user_16455,Skincare Serum,Penjual sangat ramah dan fast respon.,5,2023-03-16
user_68,Powerbank,Barang rusak saat diterima.,1,2023-07-04
user_19548,Celana Jeans,Barang tidak berfungsi dengan baik.,1,2023-04-26
martinianusrahmat,Tas ransel Backpack urban factor - Vanguard | Tas laptop Pria wanita Kasual,"Desain:keren banget
Warna:Bagus
Ketebalan:sangat tebal

Barang udah nyampe cepat banget pakingan rapih barangnya juga bagus dan menarik tebal lagi",5,2025-03-19 00:22
user_6042,Flashdisk 64GB,Pengiriman sangat lama.,1,2023-03-12
user_5375,Mouse Wireless,Worth it banget untuk harga segini.,4,2023-05-03
user_14731,Buku Catatan,Barang original dan berkualitas.,4,2023-06-22
user_21661,Flashdisk 64GB,Packing asal-asalan.,2,2023-04-14
user_18267,Keyboard Mechanical,Sesuai dengan rating dan review yang saya baca.,4,2024-11-05
user_9513,Meja Belajar,Produk tidak sesuai gambar.,1,2024-09-29
user_22871,Flashdisk 64GB,Terlalu mahal untuk kualitas seperti ini.,1,2023-11-23
user_10390,Powerbank,Pengiriman sangat lama.,2,2024-03-14
user_18762,Powerbank,Sudah komplain tapi tidak ada solusi.,1,2023-06-03
ade15,Jam Tangan Digital,"Packing rapi banget, penjual ramah.",5,2025-02-11
user_4037,Buku Catatan,Produk kotor dan tidak layak pakai.,2,2024-07-25
bagas83,Kaos Oblong,"Sudah belanja beberapa kali, selalu puas.",4,2024-06-23
ssuwarno,Tumbler Stainless,Barang sampai dengan aman dan cepat.,5,2025-02-28
yosef09,Keyboard Mechanical,"Sudah belanja beberapa kali, selalu puas.",5,2025-03-23
user_21719,Rak Sepatu,Barang rusak saat diterima.,2,2024-10-31
utamahadi,Jam Tangan Digital,Barang sampai dengan aman dan cepat.,5,2025-06-10
user_5887,Powerbank,Pengiriman sangat lama.,1,2023-12-05
utamivinsen,Parfum Unisex,Barang sampai dengan aman dan cepat.,5,2025-03-20
lulutmaheswara,Kaos Oblong,"Produk bagus, bahan adem dan sesuai gambar.",4,2025-02-04
kariman79,Sepatu Sneakers,"Warnanya cantik dan tahan lama, puas banget!",4,2024-12-09
n92eu76hci,SKINTIFIC - 3X Acid Acne Gel Cleanser 120ml | Salicilyc Acid Facial Wash Cleanses Excess Sebum Face Wash Sabun Cuci Muka Acner Glowing Barrier Brightening Whitening Blackhead Removal Calming with 3X ACID Complex,Maskernya kurang 1 saya beli 2 kok datang nya cuma 1,1,2025-06-12 10:30
user_12732,Jam Tangan Digital,Produk tidak sesuai gambar.,1,2024-04-17
user_9554,Skincare Serum,Packing asal-asalan.,2,2024-07-28
user_1491,Headset Gaming,Barang rusak saat diterima.,2,2023-02-02
user_14106,Kemeja Pria,Ukuran tidak sesuai deskripsi.,1,2024-07-14
user_3979,Skincare Serum,Penjual tidak merespon chat.,2,2023-04-21
user_8027,Jam Tangan Digital,"Barang palsu, bukan original.",1,2024-04-06
angpri77,Bed Cover Set Pink Ara 90x200 - 200x200 - Evedaily,"Desain:menarik
Tekstur:halus
Kualitas:biasa

Lumayan dengan harga nya yang sesuai. Mungkin dakron nya kurang tebal dikit. Bahan nya halus. Nyaman buat tidur.",4,2025-05-18 07:25
user_5506,Flashdisk 64GB,Kualitas sangat buruk.,1,2023-11-26
user_18352,Tas Wanita,Terlalu mahal untuk kualitas seperti ini.,2,2023-05-04
user_23597,Mouse Wireless,"Pelayanan cepat, packing aman, produk oke!",5,2023-12-12
user_7703,Headset Gaming,Baru dipakai sebentar sudah rusak.,2,2024-07-13
l*****i,[PRE ORDER] Finally Found You! BUNDLE 2 PCS: Big Size Soy Bright! Moisturizer 80gr & SUN-RICE ALL DAY Invisible UV Shield SPF 50 PA++++ 50ml,Kemasan:dus agak penyok Baru pertama kali beli dan nanti dicoba,4,2025-06-12 18:07
lpalastri,Kemeja Polos,Produk original dan kualitasnya premium.,5,2024-08-23
dipo5758,BLACKMORES BIO D3 1000IU BPOM KALBE - 30 CAPS,"Kadaluarsa:10/01/2028
Keaslian:asli Blackmores
Manfaat Kesehatan:daya tahan tubuh

Pembelian kedua kalinya di toko ini, butuh vitamin untuk meningkatkan daya tahan tubuh, apalagi kasus COVID 19 meningkat lagi, banyak orang juga kena batuk dan pilek, buat menjaga daya tahan tubuh, beli ini saja.",5,2025-06-13 12:12
user_22149,Powerbank,Barang tidak berfungsi dengan baik.,1,2024-09-17
user_11200,Meja Belajar,Penjual sangat ramah dan fast respon.,4,2023-05-24
user_24291,Kaos Polos,Barang rusak saat diterima.,2,2024-10-05
banggriawan,Parfum Unisex,"Produk bagus, bahan adem dan sesuai gambar.",5,2024-10-30
user_24318,Parfum Wanita,Sudah komplain tapi tidak ada solusi.,1,2024-03-19
user_15035,Powerbank,Pengiriman sangat lama.,1,2024-12-11
user_2355,Makeup Set,Packing asal-asalan.,2,2024-11-08
user_11944,Sepatu Sneakers,Barang original dan berkualitas.,5,2023-03-18
user_5168,Sepatu Sneakers,Sudah komplain tapi tidak ada solusi.,2,2024-03-28
user_3660,Celana Jeans,Sangat kecewa dengan produk ini.,2,2023-04-25
purwantiasmadi,Sandals Pria,"Sesuai deskripsi, kualitas oke dan tahan lama.",5,2024-07-01
user_22483,Smartphone Android,Rating tinggi tapi kualitas rendah.,1,2023-03-01
user_23869,Smartphone Android,Barang tidak berfungsi dengan baik.,2,2024-03-16
wwulandari,Powerbank 10000mAh,"Packing rapi banget, penjual ramah.",5,2025-04-18
user_15653,Powerbank,"Beli karena review bagus, ternyata zonk.",1,2023-03-01
user_23577,Sepatu Sneakers,Tidak direkomendasikan sama sekali.,1,2024-06-20
user_3642,Makeup Set,Top banget! Bakal order lagi nanti.,5,2024-05-13
nalar84,Keyboard Mechanical,"Warnanya cantik dan tahan lama, puas banget!",4,2024-07-01
user_11950,Kemeja Pria,Terlalu mahal untuk kualitas seperti ini.,2,2024-05-28
user_23596,Meja Belajar,"Servis buruk, tidak profesional.",2,2024-07-16
dwinovitasari752,SKIN1004 Madagascar Centella Hyalu-Cica Blue Serum 50ml,bagus bangetttt di aku cocok,5,2025-06-11 18:41
user_5135,Kemeja Pria,"Barang palsu, bukan original.",1,2023-06-01
user_5036,Meja Belajar,Kualitas di atas ekspektasi saya!,4,2024-01-09
user_7321,Tas Wanita,Sangat kecewa dengan produk ini.,1,2024-11-06
radika14,Tas Ransel,"Produk bagus, bahan adem dan sesuai gambar.",4,2024-08-06
wahyunipuspa,Kaos Oblong,"Sudah belanja beberapa kali, selalu puas.",4,2024-09-16
user_16391,Kaos Polos,Produk tidak sesuai gambar.,1,2023-02-18
user_8196,Meja Belajar,Baru dipakai sebentar sudah rusak.,2,2024-02-23
user_22058,Buku Catatan,Sesuai dengan rating dan review yang saya baca.,4,2023-05-20
user_19380,Buku Catatan,Penjual sangat ramah dan fast respon.,4,2024-06-20
user_16314,Tas Wanita,Barang rusak saat diterima.,1,2023-02-10
user_19194,Meja Belajar,"Beli karena review bagus, ternyata zonk.",2,2024-09-01
hamima85,Jaket Hoodie,"Sudah belanja beberapa kali, selalu puas.",5,2025-05-22
user_6342,Skincare Serum,Packing rapi dan aman sampai tujuan.,5,2024-12-29
habibinova,Headset Bluetooth,"Packing rapi banget, penjual ramah.",4,2025-06-08
galurirawan,Keyboard Mechanical,"Sudah belanja beberapa kali, selalu puas.",5,2025-02-22
user_23859,Smartphone Android,Produk tidak sesuai gambar.,1,2023-08-24
user_5263,Makeup Set,Sudah komplain tapi tidak ada solusi.,2,2023-09-14
napitupulubahuwarna,Lipstik Matte,"Harga terjangkau, kualitas mantap!",5,2024-06-15
user_2152,Celana Jeans,Sesuai dengan rating dan review yang saya baca.,5,2023-10-27
user_17362,Sepatu Sneakers,Sangat direkomendasikan untuk semua orang.,5,2024-01-09
umiuyainah,Jam Tangan Digital,"Produk bagus, bahan adem dan sesuai gambar.",5,2024-11-15
user_18563,Powerbank,Sangat puas dengan pelayanan toko ini.,5,2024-09-27
user_21289,Rak Sepatu,Worth it banget untuk harga segini.,4,2024-10-18
user_13910,Mouse Wireless,Terlalu mahal untuk kualitas seperti ini.,1,2023-11-03
user_14661,Rak Sepatu,Warna tidak sesuai pesanan.,2,2024-10-01
user_22920,Jam Tangan Digital,Sudah komplain tapi tidak ada solusi.,1,2023-02-13
user_10257,Kaos Polos,Penjual sangat ramah dan fast respon.,5,2023-04-30
novi89890,SKINTIFIC - Perfect Stay Velvet Matte Cushion - Refill 11ml,Gak bagusss dempul,1,2025-06-10 15:45
user_1966,Kaos Polos,Baru dipakai sebentar sudah rusak.,1,2023-10-22
bakimanmardhiyah,Headset Bluetooth,"Packing rapi banget, penjual ramah.",5,2025-03-19
user_20478,Mouse Wireless,Barang original dan berkualitas.,5,2023-04-12
user_8304,Jam Tangan Digital,Sudah komplain tapi tidak ada solusi.,1,2023-11-23
user_15312,Buku Catatan,Produk kotor dan tidak layak pakai.,1,2023-05-22
user_16699,Tas Wanita,Warna tidak sesuai pesanan.,2,2024-12-15
user_21703,Celana Jeans,Barang rusak saat diterima.,2,2023-11-24
user_5080,Kemeja Pria,"Servis buruk, tidak profesional.",2,2023-04-19
a*****h,"Gosh Paperbag 005 (TIDAK DIJUAL PPBG AJA, ORDER HARUS SESUAI QUANTITY PEMBELIAN PRODUK)","Bagus, pengiriman dan pengemasannya baik barang jadi aman terlindungi, pokoknya ok",5,2025-06-13 13:50
user_24614,Makeup Set,Penjual sangat ramah dan fast respon.,5,2023-01-01
user_21286,Celana Jeans,Barang original dan berkualitas.,4,2024-12-12
m*****_,Finally Found You! BUNDLE BASIC SKINCARE: Soy Gentle Face Cleanser + HYDRICEING & BRIGHTENING Essence Booster + Soy Bright Moisturizer & SUN-RICE ALL DAY Invisible UV Shield,"akhirnya yg dtunggu dtng, semoga cocok",5,2025-06-12 20:12
fennysulisatysomari,BOSTANTEN Set Kombinasi Dompet PU Dan Sabuk Kulit Sapi Pria 125cm Dapat Dilepas dan Dipotong Pendek,"Desain:menarik
Warna:sesuai gambar
Kualitas:bagus memuaskan",5,2025-06-13 16:55
user_14068,Smartphone Android,Baru dipakai sebentar sudah rusak.,1,2023-04-01
user_17008,Sepatu Sneakers,Produk kotor dan tidak layak pakai.,1,2024-02-06
kwulandari,Powerbank 10000mAh,"Packing rapi banget, penjual ramah.",5,2024-06-26
hhidayanto,Dompet Kulit,"Respon penjual cepat, barang dikirim hari itu juga.",4,2025-04-27
user_23810,Kemeja Pria,Warna dan bentuk persis seperti di gambar.,5,2023-11-07
user_24907,Kemeja Pria,"Servis buruk, tidak profesional.",1,2024-11-15
prastutinovi,Headset Bluetooth,"Pengiriman cepat, packing rapi. Recommended!",5,2025-04-27
user_9287,Tas Wanita,Packing rapi dan aman sampai tujuan.,5,2024-05-04
a*****a,Tebus Murah Sarung Bantal / Sarung Guling / Tidak Bisa Pilih  Motif / Random / Acak,"Seller responsif dan amanah.
Packing aman pakai bublewarp. Barang aman sampai rumah.
Barang original.Expired masih lama.
Pengiriman standart.
Kurir sudah langganan.",5,2025-05-30 07:57
user_10014,Celana Jeans,Harga terjangkau dengan kualitas oke.,5,2024-04-20
psirait,Headset Bluetooth,"Harga terjangkau, kualitas mantap!",5,2024-12-18
iiyurent96,SKINTIFIC - Perfect Stay Velvet Matte Cushion | Foundation Compact Oil-Control Waterproof Sweatproof Matte Finish Non-Comedogenic Poreless Blue Cushion Foundation Flawless BB&CC Cream Makeup High-Coverage Bedak Skin Tint,Pesanan tidak sesuai,2,2025-06-10 08:48
jasmaniwastuti,Lipstik Matte,"Warnanya cantik dan tahan lama, puas banget!",5,2024-07-10
user_13356,Meja Belajar,Kualitas sangat buruk.,1,2023-02-04
user_1520,Mouse Wireless,Rating tinggi tapi kualitas rendah.,2,2024-09-21
deviayuresia,SKINTIFlC Sensitive Soothe Cleanser 120ml | Dry Skin Facial Wash Cleanser Sabun Cuci Muka Sensitive Mild Gentle Cleanser Anti-Aging & Acne-prone Cleanser Glowing Brightening Calming Moisturized Dark Spot cleanser with light semi-gel texture,"Barang nya gak ada didalam pakingan, jadi gak bisa difoto, kecewa sih, pikir positif aja mungkin lupa masukinnya, semoga berkah ya",1,2025-06-12 07:07
user_12930,Kursi Lipat,Baru dipakai sebentar sudah rusak.,2,2023-09-24
ninasafiraas,HijabChic Eraya Lilac Ash Top - Baju Lebaran Sarimbit Motif Bunga Katun Premium Ruffle Depan Elegan,"Desain:pastel
Bahan:halus, adem

agak kegedean, karna model baju yg memang sudah kaya oversize gitu",5,2025-03-25 19:40
wijayantirizki,Sepatu Sneakers,"Pengiriman cepat, packing rapi. Recommended!",5,2025-05-15
user_6744,Lampu Tidur,Produk kotor dan tidak layak pakai.,1,2023-08-26
lilyrodiah,[ ! TERBATAS ! ] SKINTIFIC - Facial Serum BIG SIZE Essence Wajah - 5X Ceramide Barrier Serum 50ml / SymWhite 377 Dark Spot Brightening Serum / niacinamide Brightening serum / Salicylic Acid Anti Acne Serum,Barangnya yang dateng sudah oksidasi,1,2025-05-23 19:30
user_877,Mouse Wireless,Packing asal-asalan.,1,2023-04-13
kalanasyiah,Keyboard Mechanical,"Packing rapi banget, penjual ramah.",5,2025-02-13
user_13315,Buku Catatan,Barang original dan berkualitas.,5,2023-05-27
isihombing,Celana Jeans,"Packing rapi banget, penjual ramah.",5,2024-10-11
user_19380,Headset Gaming,Sangat puas dengan pelayanan toko ini.,5,2024-12-11
user_4217,Kemeja Pria,"Beli karena review bagus, ternyata zonk.",2,2023-12-17
user_5813,Celana Jeans,Sangat direkomendasikan untuk semua orang.,4,2024-11-27
user_19344,Buku Catatan,Top banget! Bakal order lagi nanti.,4,2024-06-30
rahimahparman,Jam Tangan Digital,"Sudah belanja beberapa kali, selalu puas.",5,2024-12-22
user_22739,Headset Gaming,Pengiriman sangat lama.,2,2024-09-21
saragihreksa,Kemeja Polos,"Sesuai deskripsi, kualitas oke dan tahan lama.",5,2024-12-14
citranainggolan,Keyboard Mechanical,"Sesuai deskripsi, kualitas oke dan tahan lama.",5,2024-11-23
