Username,Produk,Review,Rating,ReviewAt
michelladev,SKIN1004 Madagascar Centella Hyalu-Cica Water-Fit Sun Serum 100ml,,5,2025-05-31 13:38
sovimamun,SKIN1004  Madagascar Centella Poremizing Tinted Suncream 50ml,"Pengirimannya cepet, adminnya ramah pwoll, packagingnya cantik bgt, skin1004 emang ga pernah gagal si💗",5,2025-05-31 13:36
_6smerv2sm,SKIN1004 Madagascar Centella Light Cleansing Oil 200ml,,5,2025-05-31 13:33
_6smerv2sm,SKIN1004 Madagascar Centella Light Cleansing Oil 30ml,,5,2025-05-31 13:33
amamiyuu,SKIN1004 Magadascar Centella Probio-Cica Enrich Cream 50ml,,5,2025-05-31 13:33
amamiyuu,SKIN1004 Magadascar Centella Probio-Cica Essence Toner 210ml,,5,2025-05-31 13:33
amamiyuu,SKIN1004 Madagascar Centella Light Cleansing Oil 200ml,,5,2025-05-31 13:33
amamiyuu,SKIN1004 Madagascar Centella Quick Calming Pad 130ml,,5,2025-05-31 13:33
amamiyuu,SKIN1004 Madagascar Centella Light Cleansing Oil 30ml,,5,2025-05-31 13:33
sechanthariqauliansyach,SKIN1004 [Centella Duo Cleanser Set] Cleansing Oil 200ml+Ampoule Foam 125ml,,5,2025-05-31 13:32
nabillasoraya033,SKIN1004 Madagascar Centella Hyalu-Cica Silky-Fit Sun Stick 7g,,5,2025-05-31 13:31
nabillasoraya033,SKIN1004 [Centella Basic 2] Toning Toner 210ml+Ampoule 100ml,,5,2025-05-31 13:31
nabillasoraya033,SKIN1004 Madagascar Centella Ampoule Foam 20ml,,5,2025-05-31 13:31
bszw1mo_48,SKIN1004 Madagascar Centella Tone Brightening Capsule Ampoule 100ml,,5,2025-05-31 13:30
bszw1mo_48,SKIN1004 Madagascar Centella Light Cleansing Oil 30ml,Alhamdulillah produknya sampai dengan selamat dan dapat harga diskon. Semoga produknya cocok dgn saya,5,2025-05-31 13:30
valenciawillis,SKIN1004 Magadascar Centella Tea-Trica Soothing Sun Milk 50ml,,5,2025-05-31 13:27
valenciawillis,SKIN1004 Madagascar Centella Poremizing Purifying Mask 25ml (1ea),,5,2025-05-31 13:27
valenciawillis,SKIN1004 Madagascar Centella Hyalu-Cica Moisture Cream 75ml,,5,2025-05-31 13:27
j*****m,SKIN1004 Madagascar Centella Poremizing Light Gel Cream 75ml,,5,2025-05-31 13:26
silviaoktarinda,SKIN1004 Madagascar Centella Poremizing Light Gel Cream 75ml,,5,2025-05-31 13:25
silviaoktarinda,SKIN1004 Madagascar Centella Poremizing Fresh Ampoule 100ml,,5,2025-05-31 13:25
n*****g,SKIN1004 Madagascar Centella Hyalu-Cica Water-Fit Sun Serum SPF50 PA++++,,5,2025-05-31 13:24
rfanggnd,SKIN1004 Madagascar Centella Double Cleansing Duo [GET FREE GIFT HADIAH TERBATAS DAN HARUS MASUK KEDALAM PESANAN ANDA],,5,2025-05-31 13:24
fitrianiardiin,SKIN1004 Madagascar Centella Poremizing Fresh Ampoule 100ml,,5,2025-05-31 13:23
fitrianiardiin,SKIN1004 Madagascar Centella Light Cleansing Oil 30ml,,5,2025-05-31 13:23
d*****h,SKIN1004 Madagascar Centella Ampoule 100ml,,5,2025-05-31 13:23
nailanadiraa,SKIN1004 Madagascar Centella Hyalu-Cica Water-Fit Sun Serum SPF50 PA++++,,5,2025-05-31 13:22
trisya_widya,SKIN1004 Magadascar Centella Probio-Cica Bakuchiol Eye Cream 20ml,,5,2025-05-31 13:21
trisya_widya,SKIN1004 [Probio-Cica 3] Toner 210ml+ Ampoule 50ml+Cream 50ml,,5,2025-05-31 13:21
trisya_widya,SKIN1004 Madagascar Centella Watergel Sheet Ampoule Mask 1ea,,5,2025-05-31 13:21
trisya_widya,SKIN1004 Madagascar Centella Toning Toner 30ml,,5,2025-05-31 13:21
trisya_widya,SKIN1004 [Centella Duo Cleanser Set] Cleansing Oil 200ml+Ampoule Foam 125ml,,5,2025-05-31 13:21
susriyen,SKIN1004 Madagascar Centella Hyalu-Cica Water-Fit Sun Serum 100ml,,5,2025-05-31 13:19
susriyen,SKIN1004 Madagascar Centella Cream 75ml,,5,2025-05-31 13:19
meriselmeri,SKIN1004 Madagascar Centella Air-Fit Suncream Light SPF30 PA+++,,5,2025-05-31 13:19
meriselmeri,SKIN1004 Madagascar Centella Travel Kit 5 Types (with BOX) [GET FREE GIFT HADIAH TERBATAS DAN HARUS MASUK KEDALAM PESANAN ANDA],,5,2025-05-31 13:19
meriselmeri,SKIN1004 Madagascar Centella Watergel Sheet Ampoule Mask 1ea,,5,2025-05-31 13:19
meriselmeri,SKIN1004 Madagascar Centella Toning Toner 30ml,,5,2025-05-31 13:19
qonitazain14,SKIN1004 Madagascar Centella Ampoule Foam 125ml,,5,2025-05-31 13:19
qonitazain14,SKIN1004 Madagascar Centella Hyalu-Cica Sleeping Pack 30ml,,5,2025-05-31 13:19
qonitazain14,SKIN1004 Madagascar Centella Hyalu-Cica Brightening Toner 30ml,,5,2025-05-31 13:19
dewiqangela,SKIN1004 Madagascar Centella Travel Kit 5 Types (with BOX) [GET FREE GIFT HADIAH TERBATAS DAN HARUS MASUK KEDALAM PESANAN ANDA],,5,2025-05-31 13:19
dewiqangela,SKIN1004 Madagascar Centella Watergel Sheet Ampoule Mask 1ea,,5,2025-05-31 13:19
dewiqangela,SKIN1004 Madagascar Centella Toning Toner 30ml,,5,2025-05-31 13:19
kumala.f,SKIN1004 Madagascar Centella Air-Fit Suncream Plus (Renewal) 50ml,,5,2025-05-31 13:17
ratapratiwi16,SKIN1004 Madagascar Centella Tone Brightening Capsule Cream 75ml,,5,2025-05-31 13:15
ratapratiwi16,SKIN1004 Madagascar Centella Light Cleansing Oil 30ml,,5,2025-05-31 13:15
n*****a,SKIN1004 Madagascar Centella Tone Brightening Capsule Ampoule 100ml,"Maaf ya kak tidak sesuai gambarnya karna barang sudah diambil tuannya, untuk barangnya bagus banget pembeli suka kak rekomendasi bgt",5,2025-05-31 13:14
q*****c,SKIN1004 Madagascar Centella Hyalu-Cica Water-Fit Sun Serum 100ml,,5,2025-05-31 13:14
yuyukmaisyaroh02,SKIN1004 Madagascar Centella Hyalu-Cica Water-Fit Sun Serum SPF50 PA++++,,5,2025-05-31 13:13
o*****i,SKIN1004 Madagascar Centella Hyalu-Cica Silky-Fit Sun Stick 7g,,5,2025-05-31 13:13
o*****i,SKIN1004 Madagascar Centella Hyalu-Cica Water-Fit Sun Serum Minis 15ml SPF50 PA++++,,5,2025-05-31 13:13
o*****i,SKIN1004 Madagascar Centella Ampoule 55ml,"Tekstur:cair seperti air Daya Serap:efektif tidak lengket Cocok untuk:kulit berminyak Krna tekstur nya cair banget dan ringan di kulit jadi cepat meresap, hasil akhirnya bagus bikin kulit terlihat lebih baik, kadang juga aku pake sebelum apply retinol",5,2025-05-31 13:13
febti_123,SKIN1004 Madagascar Centella Tone Brightening Capsule Ampoule 30ml,,5,2025-05-31 13:13
s*****n,SKIN1004 Madagascar Centella Hyalu-Cica Water-Fit Sun Serum SPF50 PA++++,,5,2025-05-31 13:10
s*****n,SKIN1004 Madagascar Centella Soothing Cream 75ml,,5,2025-05-31 13:10
s*****n,SKIN1004 Madagascar Centella Light Cleansing Oil 30ml,,5,2025-05-31 13:10
dirgaferlian,SKIN1004 Madagascar Centella Tone Brightening Capsule Ampoule 50ml,,4,2025-05-31 13:08
dirgaferlian,SKIN1004 Madagascar Centella Tea-Trica Spot Cover Patch 22ea,,4,2025-05-31 13:08
dirgaferlian,SKIN1004 [Centella Basic 5] Cleansing Oil+Ampoule Foam+Toner 210+Ampoule 100+Soothing Cream 75ml,,4,2025-05-31 13:08
f*****a,SKIN1004 Madagascar Centella Tea-Trica Spot Cover Patch 22ea,,5,2025-05-31 13:07
restiacarol020990,SKIN1004 Madagascar Centella Soothing Cream 30ml,,5,2025-05-31 13:07
nikita_gedalya,SKIN1004 Madagascar Centella Poremizing Fresh Ampoule 100ml,"Tekstur:Kental Daya Serap:Cepat Cocok untuk:Kulit berpori besarBaru pertama kali coba. Happy banget dapet free cleansing oilnya yang udah lama pengen kucoba. Semoga cocok semua. Thank you Skin1004",5,2025-05-31 13:07
nikita_gedalya,SKIN1004 Madagascar Centella Light Cleansing Oil 30ml,"Tekstur:Ringan Cocok untuk:Semua kulit Aroma:Calming Pengen banget coba cleansing oil ini tapi selalu maju mundur karna takut ga cocok sama kulitku. Happy banget dapet free dari pembelian poremizing ampoule, jadi bisa coba dulu. Thank you Skin1004",5,2025-05-31 13:07
madamoissy,SKIN1004 Madagascar Centella Tone Brightening Capsule Cream 75ml,,5,2025-05-31 13:06
ayangdindha,SKIN1004 Madagascar Centella Hyalu-Cica Water-Fit Sun Serum Minis 15ml SPF50 PA++++,,5,2025-05-31 13:06
ayangdindha,SKIN1004 Madagascar Centella Poremizing Light Gel Cream 75ml,,5,2025-05-31 13:06
ayangdindha,SKIN1004 Madagascar Centella Tone Brightening Capsule Ampoule 100ml,,5,2025-05-31 13:06
_ulfhh,SKIN1004 Madagascar Centella Ampoule 100ml,,5,2025-05-31 13:04
auroradewi09,SKIN1004 Madagascar Centella Tone Brightening Capsule Ampoule 100ml,,5,2025-05-31 13:03
auroradewi09,SKIN1004 Madagascar Centella Light Cleansing Oil 30ml,,5,2025-05-31 13:03
anstsxx,SKIN1004 Madagascar Centella Poremizing Fresh Ampoule 30ml,,5,2025-05-31 13:00
anstsxx,SKIN1004 Madagascar Centella Tone Brightening Capsule Ampoule 100ml,,5,2025-05-31 13:00
esramanurung420,SKIN1004 Madagascar Centella Travel Kit 5 Types (with BOX),,5,2025-05-31 12:59
a*****a,SKIN1004 [Tone Brightening Basic 4] Tone Brightening Gel Foam 125ml+Toner 210ml+Ampoule 100ml+Cream 75ml [GET FREE GIFT HADIAH TERBATAS DAN HARUS MASUK KEDALAM PESANAN ANDA],,5,2025-05-31 12:59
a*****a,SKIN1004 Madagascar Centella Poremizing Fresh Ampoule 100ml,,5,2025-05-31 12:59
gitt15,SKIN1004 Madagascar Centella Toning Toner 30ml,,5,2025-05-31 12:59
gitt15,SKIN1004 Madagascar Centella Ampoule 55ml,,5,2025-05-31 12:59
yaudahcel,SKIN1004 Madagascar Centella Air-Fit Suncream Light SPF30 PA+++,,5,2025-05-31 12:58
mutaiaraanjanj,Today I'm Flawless Set (Brightening Capsule Ampoule 100ml + Capsule Cream 75ml),,5,2025-05-31 12:58
mutaiaraanjanj,SKIN1004 Madagascar Centella Watergel Sheet Ampoule Mask 1ea,,5,2025-05-31 12:58
