Username,Produk,Review,Rating,ReviewAt,Label
zdamanik,Celana Jeans,Barang sampai dengan aman dan cepat.,4,2024-07-11,1
user_17804,Makeup Set,Produk sangat bagus dan sesuai deskripsi!,4,2024-01-10,1
user_17762,Tas Wanita,"Puas banget, terima kasih seller!",5,2024-04-06,1
user_1037,Headset Gaming,Pengiriman cepat dan aman.,5,2024-12-19,1
user_3138,Buku Catatan,Terlalu mahal untuk kualitas seperti ini.,2,2024-01-27,0
user_2117,Keyboard Mechanical,"Beli karena review bagus, ternyata zonk.",3,2024-10-17,0
user_11420,Tas Wanita,Barang datang lebih cepat dari perkiraan.,5,2024-10-30,1
lprastuti,Mouse Wireless,"Sesuai deskripsi, kualitas oke dan tahan lama.",5,2024-12-22,1
uda53,Celana Jeans,"Harga terjangkau, kualitas mantap!",5,2025-01-24,1
user_17092,Makeup Set,Packing rapi dan aman sampai tujuan.,5,2023-08-04,1
vnajmudin,Jaket Hoodie,"Sesuai deskripsi, kualitas oke dan tahan lama.",5,2024-12-02,1
user_5640,Jam Tangan Digital,"Mantap, gak nyesel beli di sini.",5,2023-02-21,1
user_9252,Kaos Polos,Top banget! Bakal order lagi nanti.,4,2024-07-30,1
user_16688,Lampu Tidur,Harga terjangkau dengan kualitas oke.,4,2024-06-25,1
user_21643,Meja Belajar,Sangat direkomendasikan untuk semua orang.,5,2024-06-04,1
pudjiastutidartono,Kaos Oblong,"Respon penjual cepat, barang dikirim hari itu juga.",5,2024-10-03,1
manullangcatur,Tumbler Stainless,"Respon penjual cepat, barang dikirim hari itu juga.",5,2025-02-04,1
user_8723,Jam Tangan Digital,Produk sangat bagus dan sesuai deskripsi!,4,2023-02-06,1
irma58,Keyboard Mechanical,"Pengiriman cepat, packing rapi. Recommended!",4,2024-12-31,1
user_1938,Makeup Set,Harga terjangkau dengan kualitas oke.,4,2024-07-01,1
rezamaheswara,Tumbler Stainless,"Packing rapi banget, penjual ramah.",5,2025-03-10,1
user_14105,Smartphone Android,Sudah beli berkali-kali di sini dan selalu puas.,4,2024-07-04,1
user_12527,Makeup Set,Top banget! Bakal order lagi nanti.,4,2024-08-09,1
user_20829,Headset Gaming,"Pelayanan cepat, packing aman, produk oke!",4,2023-12-18,1
hsaptono,Tumbler Stainless,"Packing rapi banget, penjual ramah.",4,2025-04-14,1
damar99,Tas Ransel,"Sudah belanja beberapa kali, selalu puas.",4,2024-11-24,1
user_22075,Makeup Set,Sangat puas dengan pelayanan toko ini.,4,2023-07-20,1
carlabudiman,Tas Ransel,"Sudah belanja beberapa kali, selalu puas.",4,2025-04-06,1
user_10686,Celana Jeans,Ukuran tidak sesuai deskripsi.,2,2023-11-06,0
